instance_id,db,dialect,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,max_gold_rank,ms,missed
local075,bank_sales_trading,sqlite,2,12,19,2,1.000,0.167,1,1,2,7.6,
local077,bank_sales_trading,sqlite,2,12,19,2,1.000,0.167,1,1,2,7.7,
local078,bank_sales_trading,sqlite,2,12,19,2,1.000,0.167,1,1,2,6.3,
local081,northwind,sqlite,3,9,15,2,0.667,0.222,0,0,,18.7,customergroupthreshold
local085,northwind,sqlite,1,10,15,1,1.000,0.100,1,1,1,6.8,
local114,education_business,sqlite,4,12,18,4,1.000,0.333,1,1,4,15.3,
local128,BowlingLeague,sqlite,4,12,12,4,1.000,0.333,1,0,8,8.4,
local130,school_scheduling,sqlite,4,12,16,4,1.000,0.333,1,0,11,13.3,
local131,EntertainmentAgency,sqlite,2,10,13,2,1.000,0.200,1,1,3,9.1,
local133,EntertainmentAgency,sqlite,2,7,13,2,1.000,0.286,1,1,2,7.3,
local132,EntertainmentAgency,sqlite,4,9,13,4,1.000,0.444,1,1,4,6.8,
local141,AdventureWorks,sqlite,2,9,13,2,1.000,0.222,1,0,4,15.5,
local152,imdb_movies,sqlite,4,7,7,4,1.000,0.571,1,0,6,10.8,
local230,imdb_movies,sqlite,4,7,7,4,1.000,0.571,1,0,7,7.7,
local156,bank_sales_trading,sqlite,3,12,19,3,1.000,0.250,1,0,5,15.7,
local157,bank_sales_trading,sqlite,1,8,19,1,1.000,0.125,1,1,1,10.0,
local163,education_business,sqlite,1,10,18,1,1.000,0.100,1,1,1,15.7,
local168,city_legislation,sqlite,3,5,15,3,1.000,0.600,1,1,3,20.0,
local169,city_legislation,sqlite,2,5,15,1,0.500,0.200,0,0,15,9.7,legislation_date_dim
local171,city_legislation,sqlite,3,6,15,2,0.667,0.333,0,0,15,7.8,legislation_date_dim
local167,city_legislation,sqlite,3,6,15,2,0.667,0.333,0,0,15,7.2,legislation_date_dim
local170,city_legislation,sqlite,3,8,15,3,1.000,0.375,1,0,6,10.1,
local201,modern_data,sqlite,1,2,17,1,1.000,0.500,1,1,1,11.3,
local202,city_legislation,sqlite,1,7,15,1,1.000,0.143,1,1,1,7.5,
local209,delivery_center,sqlite,3,7,7,3,1.000,0.429,1,1,3,9.7,
local210,delivery_center,sqlite,3,7,7,3,1.000,0.429,1,1,3,4.6,
local212,delivery_center,sqlite,3,7,7,3,1.000,0.429,1,1,3,4.8,
local218,EU_soccer,sqlite,2,9,9,2,1.000,0.222,1,1,4,19.2,
local219,EU_soccer,sqlite,5,9,9,5,1.000,0.556,1,0,9,11.1,
local221,EU_soccer,sqlite,5,9,9,5,1.000,0.556,1,0,9,8.8,
