instance_id,db,dialect,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,max_gold_rank,ms,n_cols_db,n_cols_graph,ddl_tokens,n_gold_cols,n_pred_cols,col_recall,col_precision,col_strict,unresolved_cols,missed,missed_cols
bq011,ga4,bigquery,1,1,1,1,1.000,1.000,1,1,1,2064.8,2116,108,1876,3,108,1.000,0.028,1,3,,
bq010,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,45.0,5522,338,7050,,,,,,7,,
bq009,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,44.7,5522,338,7050,,,,,,7,,
bq001,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,43.2,5522,338,7050,3,338,1.000,0.009,1,8,,
bq002,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,52.4,5522,338,7050,2,338,1.000,0.006,1,11,,
bq003,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,52.5,5522,338,7050,,,,,,11,,
bq004,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,45.5,5522,338,7050,,,,,,8,,
bq008,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,46.5,5522,338,7050,4,338,1.000,0.012,1,11,,
bq269,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,27.6,5522,338,7050,2,338,1.000,0.006,1,7,,
bq268,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,25.5,5522,338,7050,4,338,1.000,0.012,1,9,,
bq270,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,34.2,5522,338,7050,,,,,,10,,
bq275,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,30.3,5522,338,7050,3,338,1.000,0.009,1,5,,
bq374,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,28.2,5522,338,7050,,,,,,11,,
sf_bq029,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,15.0,79,79,2426,,,,,,,,
sf_bq026,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,9.1,79,79,2436,,,,,,,,
sf_bq091,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,7.5,79,79,2436,4,79,1.000,0.051,1,4,,
sf_bq099,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,13.9,79,79,2426,5,79,1.000,0.063,1,8,,
sf_bq033,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,11.2,79,79,2348,4,79,1.000,0.051,1,5,,
sf_bq209,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,10.1,79,79,2426,5,79,1.000,0.063,1,5,,
sf_bq027,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,8.5,79,79,2426,,,,,,,,
sf_bq210,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,8.3,79,79,2426,4,79,1.000,0.051,1,3,,
sf_bq211,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,9.6,79,79,2436,,,,,,,,
sf_bq213,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,34.1,79,79,2348,4,79,1.000,0.051,1,2,,
