instance_id,db,dialect,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,max_gold_rank,ms,n_cols_db,n_cols_graph,ddl_tokens,n_gold_cols,n_pred_cols,col_recall,col_precision,col_strict,unresolved_cols,missed,missed_cols
sf_bq225,GITHUB_REPOS,snowflake,2,6,6,2,1.000,0.333,1,1,3,7.0,34,34,1636,,,,,,,,
sf_bq180,GITHUB_REPOS,snowflake,2,6,6,2,1.000,0.333,1,1,4,5.6,34,34,1636,,,,,,,,
sf_bq233,GITHUB_REPOS,snowflake,2,6,6,2,1.000,0.333,1,1,3,5.4,34,34,1636,5,34,1.000,0.147,1,9,,
sf_bq248,GITHUB_REPOS,snowflake,3,6,6,3,1.000,0.500,1,1,3,5.4,34,34,1636,7,34,1.000,0.206,1,2,,
sf_bq193,GITHUB_REPOS,snowflake,3,6,6,3,1.000,0.500,1,1,3,6.2,34,34,1636,7,34,1.000,0.206,1,6,,
sf_bq295,GITHUB_REPOS_DATE,snowflake,3,9,9,3,1.000,0.333,1,1,5,7.1,322,61,2211,8,61,1.000,0.131,1,1,,
sf_bq249,GITHUB_REPOS,snowflake,1,6,6,1,1.000,0.167,1,1,2,6.0,34,34,1636,,,,,,,,
sf_bq375,GITHUB_REPOS,snowflake,1,6,6,1,1.000,0.167,1,1,1,5.3,34,34,1636,,,,,,,,
sf_bq255,GITHUB_REPOS,snowflake,3,6,6,3,1.000,0.500,1,1,3,5.5,34,34,1636,6,34,1.000,0.176,1,2,,
sf_bq194,GITHUB_REPOS,snowflake,2,6,6,2,1.000,0.333,1,1,2,5.5,34,34,1636,,,,,,,,
sf_bq377,GITHUB_REPOS,snowflake,1,6,6,1,1.000,0.167,1,1,1,5.4,34,34,1636,2,34,1.000,0.059,1,4,,
sf_bq359,GITHUB_REPOS,snowflake,2,6,6,2,1.000,0.333,1,1,2,5.0,34,34,1636,4,34,1.000,0.118,1,4,,
sf_bq252,GITHUB_REPOS,snowflake,2,6,6,2,1.000,0.333,1,1,2,5.4,34,34,1636,6,34,1.000,0.176,1,0,,
sf_bq251,PYPI,snowflake,2,2,2,2,1.000,1.000,1,1,2,9.7,45,45,1583,,,,,,,,
bq019,cms_data,bigquery,1,20,38,1,1.000,0.050,1,1,1,32.5,865,649,17398,,,,,,,,
bq234,cms_data,bigquery,1,20,38,1,1.000,0.050,1,1,1,16.6,865,649,17852,6,463,1.000,0.013,1,2,,
bq235,cms_data,bigquery,2,20,38,2,1.000,0.100,1,1,4,18.2,865,649,17482,13,479,1.000,0.027,1,3,,
bq172,cms_data,bigquery,1,20,38,1,1.000,0.050,1,1,1,16.9,865,649,17126,4,433,1.000,0.009,1,1,,
bq177,cms_data,bigquery,2,20,38,2,1.000,0.100,1,1,4,18.1,865,649,17452,,,,,,,,
bq354,cms_data,bigquery,5,20,38,4,0.800,0.200,0,0,23,27.0,865,649,16218,12,418,0.833,0.024,0,3,bigquery-public-data.cms_synthetic_patient_data_omop.condition_occurrence,condition_occurrence.condition_concept_id;condition_occurrence.person_id
bq355,cms_data,bigquery,4,20,38,3,0.750,0.150,0,0,33,19.3,865,649,17199,8,460,0.625,0.011,0,1,bigquery-public-data.cms_synthetic_patient_data_omop.concept,concept.concept_code;concept.concept_id;concept.vocabulary_id
bq032,noaa_data,bigquery,1,20,33,1,1.000,0.050,1,1,1,97.2,7278,769,33065,8,517,0.375,0.006,0,6,,hurricanes.longitude;hurricanes.name;hurricanes.season;hurricanes.sid;hurricanes.usa_wind
bq119,noaa_data,bigquery,1,20,33,1,1.000,0.050,1,1,1,68.3,7278,769,32852,8,517,0.375,0.006,0,5,,hurricanes.latitude;hurricanes.longitude;hurricanes.name;hurricanes.season;hurricanes.sid
sf_bq117,NOAA_DATA,snowflake,1,20,33,1,1.000,0.050,1,1,1,52.1,7275,766,32560,,,,,,,,
bq419,noaa_data,bigquery,1,20,33,1,1.000,0.050,1,1,1,24.4,7278,769,33142,2,519,1.000,0.004,1,2,,
sf_bq071,NOAA_DATA_PLUS,snowflake,2,20,48,2,1.000,0.100,1,1,2,115.4,7450,927,32229,,,,,,,,
sf_bq236,NOAA_DATA_PLUS,snowflake,2,20,48,2,1.000,0.100,1,1,5,78.7,7450,927,33326,7,523,1.000,0.013,1,1,,
bq356,noaa_data,bigquery,2,20,33,2,1.000,0.100,1,0,9,28.4,7278,769,32106,,,,,,,,
bq042,noaa_data,bigquery,1,20,33,1,1.000,0.050,1,1,4,25.3,7278,769,30997,,,,,,8,,
bq394,noaa_data,bigquery,1,20,33,1,1.000,0.050,1,1,1,27.5,7278,769,33075,7,510,1.000,0.014,1,6,,
bq357,noaa_data,bigquery,1,20,33,1,1.000,0.050,1,1,1,28.6,7278,769,31536,6,523,0.500,0.006,0,2,,icoads_core_*.day;icoads_core_*.month;icoads_core_*.year
bq181,noaa_data,bigquery,2,20,33,2,1.000,0.100,1,0,9,30.4,7278,769,31884,,,,,,,,
bq045,noaa_data,bigquery,2,20,33,2,1.000,0.100,1,0,7,31.0,7278,769,32831,5,526,1.000,0.010,1,2,,
sf_bq358,NEW_YORK_CITIBIKE_1,snowflake,3,20,21,3,1.000,0.150,1,1,3,36.3,3303,245,9887,12,243,1.000,0.049,1,0,,
bq290,noaa_data,bigquery,2,20,33,2,1.000,0.100,1,0,9,28.9,7278,769,32174,8,544,1.000,0.015,1,10,,
bq031,noaa_data,bigquery,2,20,33,1,0.500,0.050,0,0,28,41.6,7278,769,31136,2,521,0.000,0.000,0,39,bigquery-public-data.noaa_gsod.stations,stations.name;stations.usaf
bq392,noaa_gsod,bigquery,1,2,2,1,1.000,0.500,1,1,1,8.7,3088,44,1791,5,44,1.000,0.114,1,6,,
sf_bq050,NEW_YORK_CITIBIKE_1,snowflake,5,20,21,5,1.000,0.250,1,0,14,32.7,3303,245,9884,21,243,1.000,0.086,1,10,,
