instance_id,db,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,n_bridge,bridge_recovered,max_gold_rank,ms,missed
q_72,formula_1,3,8,13,3,1.000,0.375,1,0,1,1,6,6.1,
q_73,formula_1,3,8,13,3,1.000,0.375,1,0,1,1,6,6.0,
q_74,formula_1,3,8,13,3,1.000,0.375,1,0,1,1,6,5.5,
q_75,customer_deliveries,3,8,13,3,1.000,0.375,1,1,0,0,3,6.1,
q_76,assets_maintenance,3,8,14,3,1.000,0.375,1,1,0,0,4,6.1,
q_77,assets_maintenance,3,8,14,3,1.000,0.375,1,1,0,0,3,4.4,
q_78,assets_maintenance,2,8,14,2,1.000,0.250,1,1,0,0,2,4.3,
q_79,college_1,4,7,7,4,1.000,0.571,1,0,1,1,6,6.0,
q_80,college_1,4,7,7,4,1.000,0.571,1,0,1,1,5,4.8,
q_81,college_1,5,7,7,5,1.000,0.714,1,0,1,1,6,5.0,
q_82,college_1,5,7,7,5,1.000,0.714,1,0,2,2,7,5.1,
q_83,college_1,5,7,7,5,1.000,0.714,1,0,2,2,6,4.9,
q_84,college_1,5,7,7,5,1.000,0.714,1,0,2,2,6,5.2,
q_85,college_1,4,7,7,4,1.000,0.571,1,0,1,1,6,5.2,
q_86,college_1,4,7,7,4,1.000,0.571,1,0,2,2,6,5.0,
q_87,hr_1,4,7,7,4,1.000,0.571,1,0,1,1,5,5.3,
q_88,hr_1,4,7,7,4,1.000,0.571,1,0,2,2,6,4.6,
q_89,insurance_policies,2,5,5,2,1.000,0.400,1,1,0,0,2,4.7,
q_90,insurance_policies,2,5,5,2,1.000,0.400,1,1,0,0,2,3.9,
q_91,insurance_policies,3,5,5,3,1.000,0.600,1,1,0,0,3,3.9,
q_92,insurance_policies,3,5,5,3,1.000,0.600,1,1,0,0,3,4.1,
q_93,hospital_1,3,8,15,3,1.000,0.375,1,1,0,0,3,7.4,
q_94,hospital_1,3,8,15,3,1.000,0.375,1,1,0,0,3,6.4,
q_95,tracking_grants_for_research,2,8,12,2,1.000,0.250,1,1,0,0,2,5.9,
q_96,tracking_grants_for_research,2,8,12,2,1.000,0.250,1,1,0,0,3,5.0,
q_97,tracking_grants_for_research,4,8,12,4,1.000,0.500,1,0,1,1,5,4.8,
q_98,tracking_grants_for_research,4,8,12,3,0.750,0.375,0,0,2,1,10,4.8,organisation_types
q_99,tracking_grants_for_research,3,8,12,3,1.000,0.375,1,1,0,0,3,4.9,
q_100,tracking_grants_for_research,3,8,12,3,1.000,0.375,1,1,0,0,4,4.8,
q_101,tracking_grants_for_research,3,7,12,3,1.000,0.429,1,1,0,0,3,4.8,
q_102,tracking_grants_for_research,3,8,12,3,1.000,0.375,1,1,0,0,4,4.9,
q_103,document_management,3,6,9,3,1.000,0.500,1,1,0,0,3,6.2,
q_104,document_management,3,8,9,3,1.000,0.375,1,1,0,0,3,5.3,
q_105,customers_campaigns_ecommerce,2,8,8,2,1.000,0.250,1,1,0,0,2,5.6,
q_106,department_store,2,8,14,2,1.000,0.250,1,1,0,0,2,6.0,
q_107,department_store,2,8,14,2,1.000,0.250,1,1,0,0,2,4.6,
q_108,department_store,2,8,14,2,1.000,0.250,1,1,0,0,3,4.9,
q_109,department_store,2,8,14,2,1.000,0.250,1,1,0,0,2,4.7,
q_110,department_store,4,8,14,2,0.500,0.250,0,0,2,0,11,4.6,order_items;products
q_111,department_store,4,8,14,4,1.000,0.500,1,0,2,2,12,5.3,
q_112,department_store,2,8,14,2,1.000,0.250,1,1,0,0,2,5.9,
q_113,department_store,2,8,14,2,1.000,0.250,1,1,0,0,2,5.5,
q_114,aircraft,3,5,5,3,1.000,0.600,1,1,0,0,3,7.0,
q_115,aircraft,3,5,5,3,1.000,0.600,1,1,0,0,3,6.0,
q_116,cre_Drama_Workshop_Groups,2,8,18,2,1.000,0.250,1,1,0,0,2,7.9,
q_117,cre_Drama_Workshop_Groups,2,8,18,2,1.000,0.250,1,1,0,0,2,5.9,
q_118,tracking_software_problems,2,6,6,2,1.000,0.333,1,1,0,0,2,5.5,
q_119,tracking_software_problems,2,6,6,2,1.000,0.333,1,1,0,0,2,4.5,
q_120,tracking_software_problems,2,6,6,2,1.000,0.333,1,0,1,1,6,4.6,
q_121,tracking_software_problems,2,6,6,2,1.000,0.333,1,0,1,1,6,4.5,
q_122,tracking_software_problems,2,6,6,2,1.000,0.333,1,0,1,1,5,4.1,
q_123,tracking_software_problems,2,6,6,2,1.000,0.333,1,1,0,0,3,4.3,
q_124,tracking_software_problems,2,6,6,2,1.000,0.333,1,0,1,1,5,4.3,
q_125,tracking_software_problems,2,6,6,2,1.000,0.333,1,1,0,0,3,4.4,
q_126,tracking_software_problems,3,6,6,3,1.000,0.500,1,1,0,0,3,4.4,
q_127,tracking_software_problems,3,6,6,3,1.000,0.500,1,1,0,0,3,4.7,
q_128,tracking_software_problems,3,6,6,3,1.000,0.500,1,0,1,1,6,6.9,
q_129,tracking_software_problems,3,6,6,3,1.000,0.500,1,1,0,0,3,8.2,
