instance_id,db,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,n_bridge,bridge_recovered,max_gold_rank,ms,missed
q_0,wta_1,2,3,3,2,1.000,0.667,1,1,0,0,2,7.7,
q_1,wta_1,2,3,3,2,1.000,0.667,1,1,0,0,2,5.9,
q_2,student_transcripts_tracking,3,6,11,3,1.000,0.500,1,1,0,0,3,6.9,
q_3,student_transcripts_tracking,3,6,11,3,1.000,0.500,1,1,0,0,3,5.5,
q_4,student_transcripts_tracking,3,6,11,3,1.000,0.500,1,0,1,1,4,4.7,
q_5,student_transcripts_tracking,3,6,11,2,0.667,0.333,0,0,1,0,10,5.2,addresses
q_6,student_transcripts_tracking,2,6,11,2,1.000,0.333,1,0,1,1,6,5.1,
q_7,student_transcripts_tracking,2,6,11,2,1.000,0.333,1,0,1,1,6,5.2,
q_8,tvshow,2,3,3,2,1.000,0.667,1,1,0,0,2,7.1,
q_9,tvshow,2,3,3,2,1.000,0.667,1,1,0,0,2,6.5,
q_10,world_1,2,3,4,2,1.000,0.667,1,1,0,0,3,7.4,
q_11,world_1,2,0,4,0,0.000,0.000,0,0,2,0,,0.4,country;countrylanguage
q_12,world_1,2,4,4,2,1.000,0.500,1,0,1,1,4,6.7,
q_13,world_1,2,4,4,2,1.000,0.500,1,0,1,1,4,6.7,
q_14,world_1,2,4,4,2,1.000,0.500,1,1,0,0,2,6.3,
q_15,world_1,2,4,4,2,1.000,0.500,1,1,0,0,2,6.4,
q_16,world_1,2,3,4,2,1.000,0.667,1,1,0,0,3,6.7,
q_17,world_1,2,3,4,2,1.000,0.667,1,1,0,0,3,6.6,
q_18,world_1,3,3,4,3,1.000,1.000,1,1,0,0,3,6.3,
q_19,world_1,3,4,4,3,1.000,0.750,1,1,0,0,3,5.7,
q_20,dog_kennels,2,6,8,2,1.000,0.333,1,1,0,0,2,6.4,
q_21,dog_kennels,2,6,8,2,1.000,0.333,1,1,0,0,2,5.1,
q_22,e_commerce,3,6,8,3,1.000,0.500,1,1,0,0,3,6.1,
q_23,e_commerce,3,6,8,3,1.000,0.500,1,0,1,1,6,4.8,
q_24,e_commerce,2,6,8,2,1.000,0.333,1,1,0,0,2,4.8,
q_25,e_commerce,2,6,8,2,1.000,0.333,1,1,0,0,2,4.9,
q_26,e_commerce,3,6,8,3,1.000,0.500,1,0,1,1,4,4.8,
q_27,e_commerce,4,6,8,4,1.000,0.667,1,0,2,2,5,4.9,
q_28,e_commerce,4,6,8,4,1.000,0.667,1,0,2,2,5,5.2,
q_29,cre_Students_Information_Systems,3,6,15,3,1.000,0.500,1,1,0,0,3,5.5,
q_30,cre_Students_Information_Systems,3,6,15,3,1.000,0.500,1,1,0,0,3,4.2,
q_31,cre_Students_Information_Systems,2,6,15,2,1.000,0.333,1,1,0,0,2,4.2,
q_32,cre_Students_Information_Systems,2,6,15,2,1.000,0.333,1,1,0,0,2,4.2,
q_33,cre_Students_Information_Systems,3,6,15,3,1.000,0.500,1,1,0,0,3,4.1,
q_34,cre_Students_Information_Systems,3,6,15,3,1.000,0.500,1,1,0,0,3,3.9,
q_35,cre_Students_Information_Systems,2,6,15,2,1.000,0.333,1,1,0,0,2,4.1,
q_36,cre_Students_Information_Systems,2,6,15,2,1.000,0.333,1,1,0,0,2,4.4,
q_37,cre_Students_Information_Systems,2,6,15,2,1.000,0.333,1,1,0,0,2,3.5,
q_38,cre_Students_Information_Systems,2,6,15,2,1.000,0.333,1,1,0,0,2,3.7,
q_39,cre_Students_Information_Systems,3,6,15,3,1.000,0.500,1,1,0,0,3,4.3,
q_40,cre_Students_Information_Systems,3,6,15,2,0.667,0.333,0,0,1,0,7,4.0,students
q_41,real_estate_rentals,4,6,13,3,0.750,0.500,0,0,2,1,9,6.6,features
q_42,real_estate_rentals,4,6,13,3,0.750,0.500,0,0,2,1,9,5.4,features
q_43,real_estate_rentals,3,6,13,3,1.000,0.500,1,0,1,1,4,5.0,
q_44,real_estate_rentals,3,6,13,3,1.000,0.500,1,0,1,1,4,5.0,
q_45,cre_Doc_Workflow,3,6,9,3,1.000,0.500,1,1,0,0,3,4.6,
q_46,advertising_agencies,3,6,7,3,1.000,0.500,1,1,0,0,3,6.4,
q_47,advertising_agencies,3,6,7,3,1.000,0.500,1,1,0,0,3,7.2,
q_48,advertising_agencies,4,6,7,4,1.000,0.667,1,0,1,1,4,7.8,
q_49,advertising_agencies,4,6,7,4,1.000,0.667,1,0,1,1,4,8.3,
q_50,product_catalog,2,5,5,2,1.000,0.400,1,1,0,0,2,10.0,
q_51,product_catalog,2,5,5,2,1.000,0.400,1,1,0,0,2,8.3,
q_52,store_1,3,6,12,3,1.000,0.500,1,1,0,0,3,10.9,
q_53,store_1,3,6,12,3,1.000,0.500,1,1,0,0,3,6.9,
q_54,store_1,3,6,12,3,1.000,0.500,1,1,0,0,3,4.9,
q_55,store_1,3,6,12,3,1.000,0.500,1,1,0,0,3,4.9,
q_56,chinook_1,3,6,11,3,1.000,0.500,1,1,0,0,3,6.4,
q_57,chinook_1,3,6,11,3,1.000,0.500,1,1,0,0,3,5.0,
q_58,apartment_rentals,2,6,6,2,1.000,0.333,1,1,0,0,3,5.0,
q_59,apartment_rentals,2,6,6,2,1.000,0.333,1,1,0,0,3,4.1,
q_60,apartment_rentals,2,6,6,2,1.000,0.333,1,1,0,0,2,4.1,
q_61,apartment_rentals,2,6,6,2,1.000,0.333,1,1,0,0,2,4.1,
q_62,products_for_hire,2,6,7,2,1.000,0.333,1,1,0,0,2,6.2,
q_63,cre_Doc_Control_Systems,2,6,11,2,1.000,0.333,1,1,0,0,2,5.3,
q_64,cre_Doc_Control_Systems,2,6,11,2,1.000,0.333,1,1,0,0,2,4.5,
q_65,cre_Doc_Control_Systems,2,6,11,2,1.000,0.333,1,1,0,0,2,4.3,
q_66,cre_Doc_Control_Systems,2,6,11,2,1.000,0.333,1,0,1,1,4,4.5,
q_67,formula_1,3,6,13,3,1.000,0.500,1,0,1,1,6,7.0,
q_68,formula_1,3,6,13,3,1.000,0.500,1,0,1,1,6,5.0,
q_69,formula_1,3,6,13,3,1.000,0.500,1,0,1,1,4,5.1,
q_70,formula_1,3,6,13,2,0.667,0.333,0,0,1,0,7,5.0,results
q_71,formula_1,3,6,13,3,1.000,0.500,1,0,1,1,6,4.5,
q_72,formula_1,3,6,13,3,1.000,0.500,1,0,1,1,6,4.6,
q_73,formula_1,3,6,13,3,1.000,0.500,1,0,1,1,6,4.6,
q_74,formula_1,3,6,13,3,1.000,0.500,1,0,1,1,6,4.2,
q_75,customer_deliveries,3,6,13,3,1.000,0.500,1,1,0,0,3,5.5,
q_76,assets_maintenance,3,6,14,3,1.000,0.500,1,0,1,1,4,5.6,
q_77,assets_maintenance,3,6,14,3,1.000,0.500,1,1,0,0,3,4.4,
q_78,assets_maintenance,2,6,14,2,1.000,0.333,1,1,0,0,2,4.1,
q_79,college_1,4,6,7,4,1.000,0.667,1,0,2,2,6,5.8,
q_80,college_1,4,6,7,4,1.000,0.667,1,0,2,2,5,4.6,
q_81,college_1,5,6,7,5,1.000,0.833,1,0,2,2,6,4.6,
q_82,college_1,5,6,7,4,0.800,0.667,0,0,2,1,7,4.9,course
q_83,college_1,5,6,7,5,1.000,0.833,1,0,2,2,6,4.5,
q_84,college_1,5,6,7,5,1.000,0.833,1,0,2,2,6,4.7,
q_85,college_1,4,6,7,4,1.000,0.667,1,0,2,2,6,4.8,
q_86,college_1,4,6,7,4,1.000,0.667,1,0,2,2,6,4.6,
q_87,hr_1,4,6,7,4,1.000,0.667,1,0,2,2,5,5.1,
q_88,hr_1,4,6,7,4,1.000,0.667,1,0,2,2,6,3.8,
q_89,insurance_policies,2,5,5,2,1.000,0.400,1,1,0,0,2,3.9,
q_90,insurance_policies,2,5,5,2,1.000,0.400,1,1,0,0,2,3.0,
q_91,insurance_policies,3,5,5,3,1.000,0.600,1,1,0,0,3,3.3,
q_92,insurance_policies,3,5,5,3,1.000,0.600,1,1,0,0,3,3.1,
q_93,hospital_1,3,6,15,3,1.000,0.500,1,1,0,0,3,5.9,
q_94,hospital_1,3,6,15,3,1.000,0.500,1,1,0,0,3,4.8,
q_95,tracking_grants_for_research,2,6,12,2,1.000,0.333,1,1,0,0,2,4.8,
q_96,tracking_grants_for_research,2,6,12,2,1.000,0.333,1,1,0,0,3,4.0,
q_97,tracking_grants_for_research,4,6,12,4,1.000,0.667,1,0,1,1,5,4.0,
q_98,tracking_grants_for_research,4,6,12,2,0.500,0.333,0,0,2,0,10,3.8,organisation_types;organisations
q_99,tracking_grants_for_research,3,6,12,3,1.000,0.500,1,1,0,0,3,3.9,
q_100,tracking_grants_for_research,3,6,12,3,1.000,0.500,1,0,1,1,4,3.9,
q_101,tracking_grants_for_research,3,6,12,3,1.000,0.500,1,1,0,0,3,4.0,
q_102,tracking_grants_for_research,3,6,12,3,1.000,0.500,1,0,1,1,4,3.9,
q_103,document_management,3,6,9,3,1.000,0.500,1,1,0,0,3,5.0,
q_104,document_management,3,6,9,3,1.000,0.500,1,1,0,0,3,4.2,
q_105,customers_campaigns_ecommerce,2,6,8,2,1.000,0.333,1,1,0,0,2,4.6,
q_106,department_store,2,6,14,2,1.000,0.333,1,1,0,0,2,5.1,
q_107,department_store,2,6,14,2,1.000,0.333,1,1,0,0,2,3.9,
q_108,department_store,2,6,14,2,1.000,0.333,1,1,0,0,3,4.9,
q_109,department_store,2,6,14,2,1.000,0.333,1,1,0,0,2,4.1,
q_110,department_store,4,6,14,2,0.500,0.333,0,0,2,0,11,4.0,order_items;products
q_111,department_store,4,6,14,2,0.500,0.333,0,0,3,1,12,4.0,order_items;products
q_112,department_store,2,6,14,2,1.000,0.333,1,1,0,0,2,3.7,
q_113,department_store,2,6,14,2,1.000,0.333,1,1,0,0,2,4.0,
q_114,aircraft,3,5,5,3,1.000,0.600,1,1,0,0,3,5.9,
q_115,aircraft,3,5,5,3,1.000,0.600,1,1,0,0,3,5.1,
q_116,cre_Drama_Workshop_Groups,2,6,18,2,1.000,0.333,1,1,0,0,2,6.7,
q_117,cre_Drama_Workshop_Groups,2,6,18,2,1.000,0.333,1,1,0,0,2,4.6,
q_118,tracking_software_problems,2,6,6,2,1.000,0.333,1,1,0,0,2,5.1,
q_119,tracking_software_problems,2,6,6,2,1.000,0.333,1,1,0,0,2,3.8,
q_120,tracking_software_problems,2,6,6,2,1.000,0.333,1,0,1,1,6,3.9,
q_121,tracking_software_problems,2,6,6,2,1.000,0.333,1,0,1,1,6,3.8,
q_122,tracking_software_problems,2,6,6,2,1.000,0.333,1,0,1,1,5,3.6,
q_123,tracking_software_problems,2,6,6,2,1.000,0.333,1,1,0,0,3,3.9,
